"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Pacsadmin puede acceder a administración","firefox-e2e","2025-12-18","skipped","2025-12-18","","e2e\admin-access.spec.ts","",""
"","0","No permite iniciar sesión con credenciales inválidas","firefox-e2e","2025-12-18","skipped","2025-12-18","Login al sistema PACS","e2e\login.spec.ts","",""
"","6630","No permite ingresar a administración con credenciales inválidas","chromium-e2e","2025-12-18","passed","2025-12-18","Login al sistema PACS","e2e\login.spec.ts","",""
"","6172","GET /pacs/studies debe responder 200 con cookies válidas","chromium-api","2025-12-18","passed","2025-12-18","API - Orthanc PACS (autenticado vía Keycloak)","api\smoke\basic.api.spec.ts","",""
"","8058","GET /pacs/studies debe responder 200 con cookies válidas","smoke-tests","2025-12-18","passed","2025-12-18","API - Orthanc PACS (autenticado vía Keycloak)","api\smoke\basic.api.spec.ts","",""
"","10061","GET /pacs/studies/{StudyUID}/series/{SeriesUID}/instances devuelve lista de instancias y la primera instacia","chromium-api","2025-12-18","passed","2025-12-18","DICOMWeb - QIDO-RS - Instances por serie","api\funcional\dicomweb.queries.instances.api.spec.ts","",""
"","61579","GET /pacs/studies debe responder 200 con cookies válidas","smoke-tests","2025-12-18","broken","2025-12-18","API – Orthanc PACS (autenticado vía Keycloak)","api\smoke\basic.api.spec.ts","",""
"","6833","DICOMWeb /studies responde 200 usando COOKIE oauth2-proxy","chromium-api","2025-12-18","passed","2025-12-18","API - Auth y Disponibilidad","api\seguridad\auth.api.spec.ts","",""
"","0","El usuario puede abrir un estudio y visualizar imágenes DICOM en modos basico","firefox-e2e","2025-12-18","skipped","2025-12-18","Visualización de estudios en OHIF Viewer","e2e\viewer-open-stud.spec.spec.ts","",""
"","1032","Keycloak está disponible (OpenID config)","chromium-api","2025-12-18","passed","2025-12-18","API - Auth y Disponibilidad","api\seguridad\auth.api.spec.ts","",""
"","1182","Retrieve Instance DICOM REAL desde multipart WADO-RS","chromium-api","2025-12-18","passed","2025-12-18","DICOMWeb - WADO-RS Retrieve con Evidencia DICOM (sin /file)","api\funcional\dicomweb.retrieve.instance.api.spec.ts","",""
"","517","Retrieve Instance: Descarga y Validación DICOM","chromium-api","2025-12-18","passed","2025-12-18","DICOMWeb - WADO-RS Retrieve con Validación","api\funcional\validation\dicom.metadata.consistency.api.spec.ts","",""
"","13519","El usuario puede abrir un estudio y visualizar imágenes DICOM en modos basico","chromium-e2e","2025-12-18","passed","2025-12-18","Visualización de estudios en OHIF Viewer","e2e\viewer-open-stud.spec.spec.ts","",""
"","1","Permite ingresar a administración con credenciales válidas","firefox-e2e","2025-12-18","skipped","2025-12-18","Login al sistema PACS","e2e\login.spec.ts","",""
"","1","Retrieve Series completo y extracción de múltiples DICOM","chromium-api","2025-12-18","skipped","2025-12-18","DICOMWeb - WADO-RS Retrieve Series (multipart → DICOM)","api\funcional\dicomweb.retrieve.series.api.spec.ts","",""
"","6803","GET /pacs/studies/{StudyUID}/series devuelve 200 y lista de series","chromium-api","2025-12-18","passed","2025-12-18","DICOMWeDICOMWeb - QIDO-RS - Series por Estudio","api\funcional\dicomweb.queries.series.api.spec.ts","",""
"","416","Retrieve Frame #1 desde un Instance DICOM (200 o 404 válido)","chromium-api","2025-12-18","passed","2025-12-18","DICOMWeb – WADO-RS Retrieve Frames (multiframe)","api\funcional\dicomweb.retrieve.frames.api.spec.ts","",""
"","7843","GET /pacs/studies Devuelve 200, lista de estudios en el servidor y adjunta evidencia","chromium-api","2025-12-18","passed","2025-12-18","DICOMWeb - QIDO Básico","api\funcional\dicomweb.queries.studies.api.spec.ts","",""
"","0","El usuario puede iniciar sesión y ver la lista de estudios","firefox-e2e","2025-12-18","skipped","2025-12-18","Login al sistema PACS","e2e\login.spec.ts","",""
"","0","Retrieve Study (WADO-RS) y extracción parcial de DICOM","chromium-api","2025-12-18","skipped","2025-12-18","DICOMWeb - Retrieve Study completo (multipart → DICOM)","api\funcional\dicomweb.retrieve.study.api.spec.ts","",""
"","0","El usuario puede abrir un estudio y visualizar imágenes DICOM en modos basico","firefox-e2e","2025-12-18","skipped","2025-12-18","","e2e\viewer-open.spec.ts","",""
"","16298","Pacsadmin puede acceder a administración","chromium-e2e","2025-12-18","passed","2025-12-18","","e2e\admin-access.spec.ts","",""
"","12755","El usuario puede abrir un estudio y visualizar imágenes DICOM en modos basico","chromium-e2e","2025-12-18","passed","2025-12-18","","e2e\viewer-open.spec.ts","",""
"","10243","Permite ingresar a administración con credenciales válidas","chromium-e2e","2025-12-18","passed","2025-12-18","Login al sistema PACS","e2e\login.spec.ts","",""
"","1","No permite ingresar a administración con credenciales inválidas","firefox-e2e","2025-12-18","skipped","2025-12-18","Login al sistema PACS","e2e\login.spec.ts","",""
"","5092","Retrieve Multiple Instances","chromium-api","2025-12-18","passed","2025-12-18","DICOMWeb - WADO-RS Retrieve con Validación","api\funcional\validation\dicom.metadata.consistency.api.spec.ts","",""
"","3583","No permite iniciar sesión con credenciales inválidas","chromium-e2e","2025-12-18","passed","2025-12-18","Login al sistema PACS","e2e\login.spec.ts","",""
"","10015","El usuario puede iniciar sesión y ver la lista de estudios","chromium-e2e","2025-12-18","passed","2025-12-18","Login al sistema PACS","e2e\login.spec.ts","",""
